Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,272-1,16_272-1,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,273-1,14_273-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,273-1,15_273-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,273-1,16_273-1,04/18/16,No Tag ,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2014,1,274-1,14_274-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2015,1,274-1,15_274-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2016,1,274-1,16_274-1,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,275-1 -  639,14_275-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,275-1 -  639,15_275-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,275-1 -  639,16_275-1,04/18/16,No Tag ,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2014,1,278-1,14_278-1,08/18/14,,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2015,1,278-1,15_278-1,08/20/15,,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2016,1,278-1,16_278-1,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2014,1,279-1,14_279-1,,,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2015,1,279-1,15_279-1,08/20/15,,Shallow
Pan_Chiriqui,Uva Island,Shallow reef Tag 22,9,P.dam,2016,1,279-1,16_279-1,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,32,P.ele,2014,1,284-1,14_284-1,08/19/14,,mid
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,32,P.ele,2015,1,284-1,15_284-1,08/18/15,,mid
